book,page,seq,hangul,pos,meaning_cn,example_ko,example_zh,status,note
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),136,100,아주머니,,阿姨,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),136,101,외할아버지,,外公,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),136,102,외할머니,,外婆,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),136,103,고모,,姑姑,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),136,104,외삼촌,,舅舅,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),137,105,고모부,,姑父,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),137,106,외숙모,,舅母,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),137,107,형수,,嫂子,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),137,108,매형,,姐夫,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),137,109,남동생,,弟弟,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),137,110,제수,,弟妹,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),137,111,여동생,,妹妹,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),137,112,매부,,妹夫,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),145,113,슬리퍼,,拖鞋,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),145,114,소파,,沙发,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),145,115,사진틀,,相框,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),146,116,우산,,雨伞,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),146,117,걸레,,抹布,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),146,118,욕조,,浴缸,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),146,119,서랍,,抽屉,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),146,120,옷걸이,,衣架,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),146,121,휴지,,手纸,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),147,122,세수비누,,香皂,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),147,123,수건,,毛巾,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),147,124,빗,,梳子,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),147,125,거울,,镜子,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),147,126,빗,,梳子,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),147,127,컵,,杯子,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),153,128,케이크,,蛋糕,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),153,129,우유,,牛奶,,,,
